,Abscissa,red_250402_2619+2624_7_0p5agarose_LB_OD0p5_Still_mix50pc_10min_20X_017.tif,red_250404_2619+2624_3_0p5agarose_LB_OD0p5_Still_mix50pc_10min_20X_041.tif,red_250506_2619+2624_1_0p5Agarose_LB_OD0p5_Still_mix50pc_10min_20X019.tif,green_250402_2619+2624_7_0p5agarose_LB_OD0p5_Still_mix50pc_10min_20X_017.tif,green_250404_2619+2624_3_0p5agarose_LB_OD0p5_Still_mix50pc_10min_20X_041.tif,green_250506_2619+2624_1_0p5Agarose_LB_OD0p5_Still_mix50pc_10min_20X019.tif
0,-16.19400679241421,0.0,0.0,0.0,0.0,0.0,0.0
1,-12.955205433931367,0.0,0.0,0.0,0.0,0.0,0.0
2,-9.716404075448525,0.0,0.0,0.0,0.0,0.0,0.0
3,-6.477602716965683,0.0,0.0,0.0,0.0,0.0,0.0
4,-3.2388013584828417,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,42.13333333333333,30.800000000000004,38.13333333333333,60.93333333333334,61.20000000000001,71.66666666666667
6,3.2388013584828417,88.30000000000001,59.06666666666666,44.26666666666667,99.06666666666666,107.63333333333331,77.66666666666669
7,6.477602716965683,109.7,55.26666666666667,42.13333333333334,73.63333333333334,80.39999999999999,56.26666666666668
8,9.716404075448525,141.3,76.43333333333335,27.866666666666667,86.66666666666667,81.10000000000001,59.66666666666668
9,12.955205433931367,142.06666666666666,58.233333333333334,35.83333333333333,108.69999999999999,77.66666666666669,82.7
10,16.19400679241421,161.16666666666666,54.6,42.06666666666666,143.79999999999998,54.66666666666666,96.73333333333333
11,19.43280815089705,154.90000000000003,64.6,44.6,158.8,69.7,116.4
12,22.67160950937989,153.5,60.03333333333334,65.83333333333334,194.00000000000003,76.33333333333334,110.56666666666668
13,25.910410867862733,158.9,51.699999999999996,60.599999999999994,191.60000000000002,85.03333333333333,129.23333333333335
14,29.149212226345576,164.83333333333331,47.63333333333334,67.96666666666667,187.13333333333335,92.66666666666669,125.56666666666669
15,32.38801358482842,134.46666666666667,50.7,71.8,196.3,84.9,144.46666666666664
16,35.62681494331126,105.26666666666667,47.300000000000004,68.9,234.13333333333335,84.16666666666667,134.60000000000002
17,38.8656163017941,112.66666666666667,52.000000000000014,80.7,250.26666666666668,79.93333333333334,110.53333333333335
18,42.104417660276944,117.06666666666665,53.166666666666664,76.30000000000001,254.4666666666667,63.666666666666664,119.73333333333333
19,45.34321901875978,121.93333333333335,48.13333333333334,77.3,246.20000000000002,45.63333333333334,114.0
20,48.58202037724263,133.53333333333333,50.800000000000004,87.56666666666666,235.86666666666667,43.8,123.00000000000001
21,51.82082173572547,110.23333333333333,48.46666666666667,73.33333333333334,245.9,47.1,135.56666666666666
22,55.05962309420831,109.23333333333332,54.16666666666667,78.46666666666667,241.83333333333331,46.900000000000006,124.56666666666666
23,58.29842445269115,96.43333333333334,49.56666666666667,82.56666666666668,238.43333333333337,49.6,123.93333333333335
24,61.537225811174,109.53333333333335,46.53333333333334,73.39999999999999,216.93333333333334,47.5,125.03333333333336
25,64.77602716965684,121.53333333333335,37.266666666666666,90.93333333333337,202.79999999999998,45.26666666666667,118.33333333333333
26,68.01482852813967,134.20000000000002,50.76666666666667,82.86666666666667,186.9666666666667,40.266666666666666,111.23333333333335
27,71.25362988662252,121.03333333333335,40.13333333333334,97.30000000000001,181.03333333333333,53.66666666666667,103.86666666666666
28,74.49243124510537,125.10000000000001,52.36666666666667,99.8,194.29999999999998,42.33333333333334,95.0
29,77.7312326035882,135.26666666666665,50.800000000000004,94.46666666666668,185.0666666666667,60.2,92.93333333333335
30,80.97003396207104,140.3,38.66666666666667,90.19999999999999,182.96666666666664,53.03333333333334,105.20000000000002
31,84.20883532055389,130.23333333333332,37.233333333333334,100.23333333333333,173.83333333333331,48.6,103.23333333333333
32,87.44763667903673,138.23333333333332,39.733333333333334,110.70000000000002,162.66666666666666,39.900000000000006,92.13333333333333
33,90.68643803751957,149.5666666666667,42.0,99.86666666666666,164.36666666666667,34.06666666666667,103.73333333333335
34,93.92523939600241,150.13333333333333,37.099999999999994,102.16666666666669,170.0,40.833333333333336,111.43333333333334
35,97.16404075448526,168.96666666666667,49.00000000000001,94.76666666666668,130.9,38.9,112.66666666666667
36,100.4028421129681,154.86666666666667,42.63333333333333,125.13333333333333,129.16666666666666,43.86666666666667,91.80000000000001
37,103.64164347145093,154.43333333333334,38.63333333333334,121.0,128.33333333333334,34.766666666666666,96.50000000000001
38,106.88044482993378,144.20000000000002,61.233333333333334,98.93333333333335,145.46666666666667,30.23333333333333,92.93333333333334
39,110.11924618841662,145.9,59.73333333333334,98.03333333333333,138.20000000000002,36.93333333333334,91.83333333333333
40,113.35804754689946,151.13333333333335,47.366666666666674,81.63333333333334,125.96666666666665,40.766666666666666,100.10000000000002
41,116.5968489053823,152.33333333333334,41.76666666666667,102.13333333333334,117.76666666666667,37.2,105.36666666666666
42,119.83565026386515,144.1,51.0,115.99999999999999,124.69999999999999,36.099999999999994,112.76666666666668
43,123.074451622348,159.83333333333337,42.400000000000006,105.4,149.43333333333337,46.46666666666667,109.46666666666667
44,126.31325298083082,167.8,47.400000000000006,94.76666666666667,127.66666666666667,48.83333333333333,119.03333333333335
45,129.55205433931368,163.93333333333334,50.599999999999994,94.8,135.9666666666667,44.56666666666666,114.3
46,132.7908556977965,154.43333333333334,45.46666666666666,96.9666666666667,129.23333333333332,44.9,98.03333333333335
47,136.02965705627935,150.8,35.46666666666667,103.90000000000002,117.70000000000002,39.56666666666667,114.53333333333333
48,139.2684584147622,156.4666666666667,57.73333333333334,94.43333333333332,106.2,35.7,102.4
49,142.50725977324504,151.46666666666664,37.43333333333334,90.33333333333334,95.93333333333334,34.66666666666667,117.93333333333335
50,145.74606113172788,165.9,40.7,113.73333333333333,91.76666666666665,40.2,91.26666666666668
51,148.98486249021073,162.13333333333333,40.03333333333334,93.19999999999999,109.16666666666667,34.50000000000001,88.63333333333334
52,152.22366384869358,148.10000000000002,50.63333333333334,79.33333333333334,97.43333333333334,35.53333333333334,106.1
53,155.4624652071764,138.50000000000003,42.16666666666667,89.26666666666667,92.03333333333333,38.56666666666667,86.73333333333333
54,158.70126656565924,144.4666666666667,47.366666666666674,97.4,92.2,43.666666666666664,77.9
55,161.94006792414208,146.96666666666667,34.4,69.2,97.13333333333334,46.833333333333336,81.96666666666668
56,165.17886928262493,153.0666666666667,37.333333333333336,70.00000000000001,101.26666666666668,41.86666666666666,82.73333333333333
57,168.41767064110778,118.83333333333333,42.36666666666667,86.83333333333333,84.46666666666667,37.300000000000004,92.63333333333335
58,171.65647199959062,149.89999999999998,45.53333333333334,102.13333333333335,85.16666666666667,33.26666666666667,70.93333333333335
59,174.89527335807347,156.36666666666667,36.800000000000004,79.9,88.80000000000001,38.43333333333334,79.56666666666666
60,178.13407471655628,124.4,27.733333333333334,70.46666666666668,100.93333333333335,41.666666666666664,81.56666666666666
61,181.37287607503913,130.66666666666666,36.8,101.66666666666667,88.50000000000001,29.56666666666667,76.33333333333334
62,184.61167743352198,125.06666666666666,34.2,80.66666666666666,94.03333333333335,24.566666666666674,91.16666666666667
63,187.85047879200482,132.13333333333333,38.0,79.86666666666669,98.03333333333333,32.7,73.86666666666667
64,191.08928015048767,134.2,28.7,94.16666666666666,89.40000000000002,33.966666666666676,73.93333333333334
65,194.3280815089705,119.26666666666668,43.333333333333336,71.30000000000001,92.03333333333333,38.800000000000004,70.10000000000001
66,197.56688286745336,158.33333333333331,52.166666666666664,74.60000000000001,86.30000000000001,31.400000000000006,76.06666666666668
67,200.8056842259362,145.33333333333334,40.13333333333333,89.26666666666667,67.33333333333334,34.7,83.73333333333333
68,204.04448558441902,136.60000000000002,37.76666666666667,89.26666666666667,78.20000000000002,33.10000000000001,82.93333333333334
69,207.28328694290187,119.66666666666666,35.7,73.73333333333333,78.9,33.800000000000004,88.36666666666667
70,210.5220883013847,84.73333333333333,38.4,70.7,90.3,40.233333333333334,83.8
71,213.76088965986756,120.3,40.5,73.5,82.10000000000001,46.53333333333333,74.96666666666668
72,216.9996910183504,117.46666666666667,29.533333333333335,98.70000000000002,74.70000000000002,36.40000000000001,63.866666666666674
73,220.23849237683325,127.86666666666669,27.233333333333334,81.56666666666666,89.80000000000001,32.03333333333334,55.833333333333336
74,223.4772937353161,117.76666666666668,42.599999999999994,75.5,82.9,44.36666666666667,59.03333333333334
75,226.7160950937989,112.33333333333334,33.2,70.73333333333333,79.0,37.76666666666667,66.53333333333335
76,229.95489645228176,107.76666666666668,28.166666666666668,66.63333333333334,100.43333333333334,28.733333333333334,66.53333333333333
77,233.1936978107646,124.83333333333336,28.36666666666667,67.26666666666667,72.63333333333334,23.2,76.5
78,236.43249916924745,122.30000000000001,29.500000000000007,96.13333333333334,84.33333333333334,26.66666666666667,71.70000000000002
79,239.6713005277303,105.76666666666667,29.733333333333334,75.63333333333334,68.53333333333333,24.7,71.13333333333334
80,242.91010188621314,102.86666666666667,36.43333333333333,69.3,80.73333333333333,34.166666666666664,62.56666666666668
81,246.148903244696,100.10000000000002,30.300000000000004,71.20000000000002,77.49999999999999,33.66666666666667,66.63333333333334
82,249.3877046031788,105.33333333333334,35.333333333333336,78.43333333333332,68.43333333333334,33.63333333333333,60.70000000000002
83,252.62650596166165,95.86666666666667,21.833333333333336,65.83333333333334,78.30000000000001,38.333333333333336,72.03333333333335
84,255.8653073201445,116.30000000000001,26.966666666666672,66.93333333333334,67.1,33.53333333333334,58.333333333333336
85,259.10410867862737,80.03333333333333,46.60000000000001,68.1,64.06666666666668,26.033333333333335,43.56666666666667
86,262.3429100371102,76.96666666666667,35.66666666666667,69.06666666666668,68.83333333333334,32.93333333333334,57.89999999999999
87,265.581711395593,70.96666666666667,32.833333333333336,52.26666666666668,73.76666666666668,32.766666666666666,51.16666666666667
88,268.8205127540759,66.83333333333334,29.46666666666667,51.53333333333334,67.63333333333333,28.46666666666667,54.83333333333334
89,272.0593141125587,66.53333333333335,30.700000000000003,71.13333333333334,72.56666666666668,29.96666666666667,61.00000000000001
90,275.29811547104157,75.23333333333333,31.06666666666667,60.53333333333334,82.46666666666667,27.766666666666666,59.300000000000004
91,278.5369168295244,65.76666666666668,28.1,65.93333333333334,68.86666666666666,30.56666666666667,46.73333333333334
92,281.77571818800726,69.43333333333334,23.4,65.76666666666667,59.53333333333333,24.933333333333334,46.9
93,285.0145195464901,71.86666666666666,27.46666666666667,57.633333333333326,68.26666666666667,23.566666666666663,51.23333333333334
94,288.2533209049729,71.0,31.599999999999998,67.83333333333333,61.033333333333346,26.200000000000003,59.96666666666668
95,291.49212226345577,69.26666666666668,28.933333333333337,58.06666666666668,58.56666666666666,29.03333333333334,47.033333333333346
96,294.7309236219386,62.66666666666667,42.400000000000006,46.13333333333334,54.699999999999996,26.200000000000003,52.53333333333334
97,297.96972498042146,76.4,28.266666666666673,56.500000000000014,49.56666666666666,26.633333333333333,69.13333333333333
98,301.2085263389043,66.60000000000001,32.63333333333334,50.333333333333336,40.233333333333334,26.500000000000004,51.50000000000001
99,304.44732769738715,58.96666666666667,34.4,44.03333333333334,45.96666666666667,29.866666666666674,52.1
100,307.68612905586997,60.83333333333334,41.099999999999994,52.43333333333334,47.166666666666664,34.76666666666667,44.266666666666666
101,310.9249304143528,69.19999999999999,29.23333333333333,56.23333333333333,59.96666666666666,26.633333333333333,61.233333333333334
102,314.16373177283566,69.26666666666665,26.000000000000004,66.13333333333334,62.76666666666668,27.233333333333334,40.1
103,317.4025331313185,68.6,20.6,70.96666666666667,40.9,23.933333333333337,39.766666666666666
104,320.64133448980135,65.56666666666668,22.6,69.06666666666668,33.6,29.600000000000005,36.1
105,323.88013584828417,50.63333333333333,18.233333333333334,50.66666666666667,63.433333333333344,35.03333333333334,48.333333333333336
106,327.11893720676704,59.06666666666667,36.96666666666667,55.03333333333333,47.10000000000001,24.73333333333333,48.63333333333334
107,330.35773856524986,54.06666666666668,41.766666666666666,54.86666666666667,52.83333333333334,22.766666666666666,50.16666666666667
108,333.5965399237327,51.96666666666667,44.733333333333334,52.400000000000006,32.7,24.46666666666667,53.933333333333344
109,336.83534128221555,58.06666666666667,36.96666666666667,56.400000000000006,51.69999999999999,26.3,46.49999999999999
110,340.07414264069837,43.733333333333334,37.10000000000001,50.39999999999999,53.43333333333334,32.766666666666666,45.43333333333334
111,343.31294399918124,49.66666666666667,22.366666666666667,51.03333333333333,42.900000000000006,31.83333333333334,49.63333333333334
112,346.55174535766406,36.166666666666664,33.1,54.133333333333326,38.5,35.83333333333333,41.166666666666664
113,349.79054671614693,40.93333333333334,39.1,47.23333333333334,38.03333333333334,23.233333333333334,44.666666666666664
